codigoIbge,nomeMunicipio,uf,longitude,latitude
2605301,Exu,PE,-39.653977142857144,-7.577159642857143
2605400,Feira Nova,PE,-35.39758666666667,-7.933916666666667
2605459,Fernando de Noronha,PE,-32.4173316091954,-3.8471988505747126
2605509,Ferreiros,PE,-35.208133333333336,-7.488176422764227
2605608,Flores,PE,-37.943770175438594,-7.9409175438596495
2605707,Floresta,PE,-38.285939337748346,-8.53992821192053
2605806,Frei Miguelinho,PE,-35.8815395480226,-7.945617514124294
2605905,Gameleira,PE,-35.38130424242424,-8.587732121212122
2606002,Garanhuns,PE,-36.53107667844523,-8.91076183745583
2606101,Glória do Goitá,PE,-35.3492576,-8.0324816
2606200,Goiana,PE,-34.92668482142857,-7.598139285714286
2606309,Granito,PE,-39.64660061728395,-7.740084567901235
2606408,Gravatá,PE,-35.516414925373134,-8.221616417910449
2606507,Iati,PE,-36.94679142857143,-9.16897836734694
2606606,Ibimirim,PE,-37.6077661849711,-8.601711849710982
2606705,Ibirajuba,PE,-36.15436206896552,-8.619113793103448
2606804,Igarassu,PE,-34.96627803738318,-7.79436308411215
2606903,Iguaracy,PE,-37.40580520231214,-7.824718208092485
2607000,Inajá,PE,-37.74778556701031,-8.797724742268041
2607109,Ingazeira,PE,-37.425878,-7.7089675
2607208,Ipojuca,PE,-35.042273880597016,-8.449475746268657
2607307,Ipubi,PE,-40.24195,-7.417078260869565
2607406,Itacuruba,PE,-38.72457222222222,-8.764266666666666
2607505,Itaíba,PE,-37.29816038186158,-8.967332696897374
2607604,Ilha de Itamaracá,PE,-34.85236329113924,-7.754391139240506
2607653,Itambé,PE,-35.18812817460317,-7.451677380952381
2607703,Itapetim,PE,-37.147760493827164,-7.405508024691358
2607752,Itapissuma,PE,-34.90068969072165,-7.731913402061855
2607802,Itaquitinga,PE,-35.04081595744681,-7.68675744680851
2607901,Jaboatão dos Guararapes,PE,-34.97517422680412,-8.155622680412371
2607950,Jaqueira,PE,-35.79853055555556,-8.727861805555555
2608008,Jataúba,PE,-36.58944688995215,-8.088996172248804
2608057,Jatobá,PE,-38.204287692307695,-9.219386153846154
2608107,João Alfredo,PE,-35.58898067226891,-7.8580394957983195
2608206,Joaquim Nabuco,PE,-35.534778313253014,-8.540784337349397
2608255,Jucati,PE,-36.4725762295082,-8.747754098360655
2608305,Jupi,PE,-36.3742417721519,-8.780313924050633
2608404,Jurema,PE,-36.1446796875,-8.7914125
2608453,Lagoa do Carro,PE,-35.334945,-7.848177
2608503,Lagoa de Itaenga,PE,-35.29275072463768,-7.900240579710145
2608602,Lagoa do Ouro,PE,-36.48334247311828,-9.179998924731184
2608701,Lagoa dos Gatos,PE,-35.87532095238095,-8.679745714285714
2608750,Lagoa Grande,PE,-40.26096342975207,-8.770897520661157
2608800,Lajedo,PE,-36.288738888888886,-8.67165
2608909,Limoeiro,PE,-35.430655371900826,-7.863295867768595
2609006,Macaparana,PE,-35.458575490196075,-7.536931372549019
2609105,Machados,PE,-35.52138095238095,-7.705691666666667
2609154,Manari,PE,-37.56688177339902,-8.91513842364532
2609204,Maraial,PE,-35.79385887850467,-8.8481
2609303,Mirandiba,PE,-38.6937641350211,-8.183664135021097
2609402,Moreno,PE,-35.12876994535519,-8.150781967213115
2609501,Nazaré da Mata,PE,-35.196962222222226,-7.736085555555555
2609600,Olinda,PE,-34.86815227272727,-7.99195
2609709,Orobó,PE,-35.58623941176471,-7.699336470588236
2609808,Orocó,PE,-39.586299004975125,-8.476271641791044
2609907,Ouricuri,PE,-40.16139344262295,-8.036428032786885
2610004,Palmares,PE,-35.634618333333336,-8.608509166666666
2610103,Palmeirina,PE,-36.222918023255815,-9.020453488372093
2610202,Panelas,PE,-36.06344748201439,-8.63858201438849
2610301,Paranatama,PE,-36.67974220183486,-8.897585321100918
2610400,Parnamirim,PE,-39.71646047156727,-8.198902080443828
2610509,Passira,PE,-35.55885151515152,-7.9901412121212125
2610608,Paudalho,PE,-35.12989395973155,-7.92963355704698
2610707,Paulista,PE,-34.90639791666667,-7.924942083333334
2610806,Pedra,PE,-36.89841463414634,-8.617739721254356
2610905,Pesqueira,PE,-36.76123619047619,-8.397099682539682
2611002,Petrolândia,PE,-38.291740789473685,-8.844766447368421
2611101,Petrolina,PE,-40.56089293924467,-9.063697044334976
2611200,Poção,PE,-36.71867135678392,-8.22898592964824
2611309,Pombos,PE,-35.41115849056604,-8.230537735849056
2611408,Primavera,PE,-35.37817371794872,-8.331457692307692
2611507,Quipapá,PE,-36.002428301886795,-8.856033962264151
2611533,Quixaba,PE,-37.8579775862069,-7.702974137931035
2611606,Recife,PE,-34.95123694029851,-8.028955223880597
2611705,Riacho das Almas,PE,-35.83471111111111,-8.061958937198067
2611804,Ribeirão,PE,-35.397883146067414,-8.500791760299625
2611903,Rio Formoso,PE,-35.20203881578947,-8.674715789473684
2612000,Sairé,PE,-35.71574210526316,-8.283768421052631
2612109,Salgadinho,PE,-35.595150877192985,-7.9252
2612208,Salgueiro,PE,-39.07037985347986,-8.076159157509158
2612307,Saloá,PE,-36.719991011235955,-9.033974157303371
2612406,Sanharó,PE,-36.52923424657534,-8.294780821917808
2612455,Santa Cruz,PE,-40.30754127659574,-8.301691702127659
2612471,Santa Cruz da Baixa Verde,PE,-38.16567142857143,-7.8368142857142855
2612505,Santa Cruz do Capibaribe,PE,-36.32772948717949,-7.915847435897436
2612554,Santa Filomena,PE,-40.58306182795699,-8.29301747311828
2612604,Santa Maria da Boa Vista,PE,-39.9484520661157,-8.57936673553719
2612703,Santa Maria do Cambucá,PE,-35.89552826086957,-7.814302173913044
2612802,Santa Terezinha,PE,-37.44506422018349,-7.429303669724771
2612901,São Benedito do Sul,PE,-35.89966764705883,-8.825858823529412
2613008,São Bento do Una,PE,-36.460999543378996,-8.529508675799086
2613107,São Caitano,PE,-36.172175886524826,-8.336832624113475
2613206,São João,PE,-36.38962422360248,-8.853186335403727
2613305,São Joaquim do Monte,PE,-35.858673631840794,-8.458543781094527
2613404,São José da Coroa Grande,PE,-35.18199047619048,-8.88194880952381
2613503,São José do Belmonte,PE,-38.76714078549849,-7.831135649546828
2613602,São José do Egito,PE,-37.28699268292683,-7.5469432926829265
2613701,São Lourenço da Mata,PE,-35.104519815668205,-8.014966359447005
2613800,São Vicente Férrer,PE,-35.49592857142857,-7.589567226890757
2613909,Serra Talhada,PE,-38.3801517167382,-8.101532188841201
2614006,Serrita,PE,-39.41056770642202,-7.833897614678899
2614105,Sertânia,PE,-37.34251623134328,-8.258453358208955
2614204,Sirinhaém,PE,-35.12286416184971,-8.605753757225434
2614303,Moreilândia,PE,-39.53423005464481,-7.643787704918033
2614402,Solidão,PE,-37.65520625,-7.600909821428571
2614501,Surubim,PE,-35.74675060728745,-7.888817004048583
2614600,Tabira,PE,-37.48674317180617,-7.602992511013216
2614709,Tacaimbó,PE,-36.236295,-8.322325714285714
2614808,Tacaratu,PE,-38.002489268292685,-8.99003512195122
2614857,Tamandaré,PE,-35.1686782122905,-8.756421229050279
2615003,Taquaritinga do Norte,PE,-36.112151898734176,-7.876266455696203
2615102,Terezinha,PE,-36.60579923076923,-9.08580923076923
2615201,Terra Nova,PE,-39.39840670241287,-8.16450509383378
2615300,Timbaúba,PE,-35.342734437086094,-7.527454966887417
2615409,Toritama,PE,-36.052593243243244,-7.997933783783783
2615508,Tracunhaém,PE,-35.154991851851854,-7.728901481481482
2615607,Trindade,PE,-40.30829166666667,-7.7582708333333334
2615706,Triunfo,PE,-38.05195,-7.855146268656717
2615805,Tupanatinga,PE,-37.21942385321101,-8.77240504587156
